comuna,actividad_comercial,total
6,"Inmobiliarias y constructoras, administración de consorcios",164
6,Instrumentos musicales (venta),4
6,Juegos de azar,68
6,Jugueterías,28
6,Librerías (venta de libros y revistas),20
6,"Librerías comerciales, fotocopias y útiles, y artística",101
6,Local en 1º piso con accesoo / con marquesinas,80
6,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",29
6,Locutorios y servicios de Internet,7
6,Paseos de compras (puestos con estructura de metal),1
6,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",341
6,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",22
6,"Remises, fletes y mudanzas",17
6,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",145
6,Restaurantes y comidas,560
6,Salud privada,82
6,Sepelios y funerarias,6
6,Servicios profesionales y financieros,168
6,Tatuajes y Piercings,15
6,Telefonía fija y celular (venta de equipos y adicionales),32
6,Tintorerías y lavaderos de ropa,98
6,Venta de alimentos y bebidas,785
6,Viveros y jardinería,12
6,ZZ - Otros negocios no contemplados anteriormente,17
7,Agencias de Seguros y ART,15
7,Agencias de turismo,15
7,"Artículos limpieza, artículos de embalaje y pañaleras",63
7,Art�culos para el hogar y construcci�n,443
7,"Autos, motos y servicios relacionados",285
7,"Bancos, financieras, tarjetas de crédito y casas de cambios",47
7,Centro de atención a clientes de telecomunicaciones,2
7,"Combustibles, estaciones de servicio",14
7,"Computación, juegos y consolas, películas, discos y CDs",36
7,Correos públicos y privados,13
7,Depósito con ventas web,24
7,Enseñanza privada y/o parroquiales en todos su niveles y formatos,123
7,"Farmacias, perfumer�as e insumos m�dicos",113
7,"Garages, estacionamientos pagos y lavaderos de auto",145
7,"Gimnasios, canchas de alquiler y yoga",38
7,"Hoteles, geri�tricos y alojamiento",102
7,"Indumentaria, accesorios, calzado y textiles",2462
7,"Inmobiliarias y constructoras, administración de consorcios",132
7,Instrumentos musicales (venta),3
7,Juegos de azar,85
7,Jugueterías,20
7,Librerías (venta de libros y revistas),13
7,"Librerías comerciales, fotocopias y útiles, y artística",114
7,Local en 1º piso con accesoo / con marquesinas,234
7,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",23
7,Locutorios y servicios de Internet,19
7,Paseos de compras (puestos con estructura de metal),37
7,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",301
7,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",26
7,"Remises, fletes y mudanzas",36
7,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",123
7,Restaurantes y comidas,566
7,Salud privada,95
7,Sepelios y funerarias,8
7,Servicios profesionales y financieros,205
7,Tatuajes y Piercings,11
7,Telefonía fija y celular (venta de equipos y adicionales),42
7,Terminales de transporte de pasajeros en general (colectivos y marítimo),6
7,Tintorerías y lavaderos de ropa,82
7,Venta de alimentos y bebidas,898
7,Viveros y jardinería,21
7,ZZ - Otros negocios no contemplados anteriormente,33
8,Agencias de Seguros y ART,21
8,Agencias de turismo,4
8,"Artículos limpieza, artículos de embalaje y pañaleras",46
8,Art�culos para el hogar y construcci�n,227
8,"Autos, motos y servicios relacionados",282
8,"Bancos, financieras, tarjetas de crédito y casas de cambios",11
8,Centro de atención a clientes de telecomunicaciones,1
8,"Combustibles, estaciones de servicio",13
8,"Computación, juegos y consolas, películas, discos y CDs",8
8,Correos públicos y privados,8
8,Depósito con ventas web,12
8,Enseñanza privada y/o parroquiales en todos su niveles y formatos,45
8,"Farmacias, perfumer�as e insumos m�dicos",43
8,"Garages, estacionamientos pagos y lavaderos de auto",22
8,"Gimnasios, canchas de alquiler y yoga",14
8,"Hoteles, geri�tricos y alojamiento",4
8,"Indumentaria, accesorios, calzado y textiles",367
8,"Inmobiliarias y constructoras, administración de consorcios",56
8,Instrumentos musicales (venta),3
8,Juegos de azar,44
8,Jugueterías,9
8,Librerías (venta de libros y revistas),2
8,"Librerías comerciales, fotocopias y útiles, y artística",56
8,Local en 1º piso con accesoo / con marquesinas,153
8,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",16
8,Locutorios y servicios de Internet,8
8,Paseos de compras (puestos con estructura de metal),1
8,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",171
8,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",16
8,"Remises, fletes y mudanzas",60
8,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",45
8,Restaurantes y comidas,272
8,Salud privada,62
8,Sepelios y funerarias,2
8,Servicios profesionales y financieros,134
8,Tatuajes y Piercings,9
8,Telefonía fija y celular (venta de equipos y adicionales),17
8,Terminales de transporte de pasajeros en general (colectivos y marítimo),5
8,Tintorerías y lavaderos de ropa,26
8,Venta de alimentos y bebidas,570
8,Viveros y jardinería,8
8,ZZ - Otros negocios no contemplados anteriormente,14
9,Agencias de Seguros y ART,25
9,Agencias de turismo,18
9,"Artículos limpieza, artículos de embalaje y pañaleras",66
9,Art�culos para el hogar y construcci�n,478
9,"Autos, motos y servicios relacionados",492
9,"Bancos, financieras, tarjetas de crédito y casas de cambios",51
9,Centro de atención a clientes de telecomunicaciones,3
9,"Combustibles, estaciones de servicio",22
9,"Computación, juegos y consolas, películas, discos y CDs",26
9,Correos públicos y privados,16
9,Depósito con ventas web,27
9,Enseñanza privada y/o parroquiales en todos su niveles y formatos,91
9,"Farmacias, perfumer�as e insumos m�dicos",103
9,"Garages, estacionamientos pagos y lavaderos de auto",40
9,"Gimnasios, canchas de alquiler y yoga",34
9,"Hoteles, geri�tricos y alojamiento",35
9,"Indumentaria, accesorios, calzado y textiles",593
9,"Inmobiliarias y constructoras, administración de consorcios",133
9,Instrumentos musicales (venta),3
9,Juegos de azar,65
9,Jugueterías,17
9,Librerías (venta de libros y revistas),7
9,"Librerías comerciales, fotocopias y útiles, y artística",92
9,Local en 1º piso con accesoo / con marquesinas,138
9,"Locales para esparcimiento (peloteros, teatros, cines, locales bailables)",24
9,Locutorios y servicios de Internet,18
9,Paseos de compras (puestos con estructura de metal),5
9,"Peluquerías, manicuras,  pedicuras, centros de belleza, spas y  depilación",276
9,"Rapipago, Pago Fácil, Bapro Pago y lugares de pago de servicios diversos excepto Bancos",29
9,"Remises, fletes y mudanzas",44
9,"Reparaciones en general (zapatos, electrodomésticos, ropa, etc.)",97
